Nome do anúncio,Alcance,Impressões,Frequência,Valor usado (BRL),Configuração de atribuição,Tipo de resultado,Resultados,Custo por resultado,CPM (custo por 1.000 impressões),CTR (todos),Classificação de qualidade,Classificação da taxa de engajamento,Conversas por mensagem iniciadas,Custo por conversa por mensagem iniciada,CPC (custo por clique no link),Cliques (todos),Engajamento com a Página,Reproduções de 25% do vídeo,Reproduções de 50% do vídeo,Reproduções de 75% do vídeo,Reproduções de 95% do vídeo,Reproduções de 100% do vídeo,Início dos relatórios,Término dos relatórios,Data de criação
AD - 02 - CARROSSEL ST - 24/05/2024,4586,10042,2.18970781,"R$ 92,12",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,20.0,"R$ 4,61","R$ 9,17",1.11531567,–,–,20,4.606,"R$ 1,42",112,71.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 03 - STORY - 15/10/2024,4526,4699,1.0382236,"R$ 8,13",Clique de 7 dias ou visualização de 1 dia,Alcance,4526.0,"R$ 1,80","R$ 1,73",0.06384337,Acima da média,–,,,,3,,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,15/10/2024
AD 01 - CARROSSEL,4280,9848,2.30093458,"R$ 118,99",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,10.0,"R$ 11,90","R$ 12,08",1.10682372,–,–,10,11.899,"R$ 3,61",109,61.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
AD - 03 - CARROSSEL ST - 24/05/2024,1464,2348,1.60382514,"R$ 21,65",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,3.0,"R$ 7,22","R$ 9,22",1.02214651,–,–,3,7.21666667,"R$ 1,55",24,16.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 02 - CARROSSEL ST - 24/05/2024,1181,1549,1.31160034,"R$ 15,88",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,7.0,"R$ 2,27","R$ 10,25",1.03292447,–,–,7,2.26857143,"R$ 2,27",16,10.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 02 - IMAGEM STORIES,934,1800,1.92719486,"R$ 19,50",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 10,83",0.66666667,–,–,,,"R$ 4,88",12,4.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
AD 01 - IMAGEM STORIES,885,1139,1.28700565,"R$ 13,09",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,"R$ 13,09","R$ 11,49",0.7023705,–,–,1,13.09,"R$ 6,54",8,6.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
AD 01 - CARROSSEL,562,694,1.23487544,"R$ 10,96",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 15,79",0.86455331,–,–,,,"R$ 3,65",6,8.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
AD - 04 - CARROSSEL ST - 24/05/2024,409,557,1.36185819,"R$ 5,48",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 9,84",1.2567325,–,–,,,"R$ 1,83",7,3.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 01 - CARROSSEL ST - 24/05/2024,353,453,1.28328612,"R$ 5,70",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 12,58",0.22075055,–,–,,,"R$ 5,70",1,1.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 01 - CARROSSEL,213,236,1.10798122,"R$ 2,52",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 10,68",2.11864407,–,–,,,"R$ 1,26",5,3.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
AD 04 - CARROSSEL ST - 24/05/2024,190,214,1.12631579,"R$ 2,45",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 11,45",0.46728972,–,–,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 03 - CARROSSEL ST - 24/05/2024,149,178,1.19463087,"R$ 1,61",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,1.0,"R$ 1,61","R$ 9,04",0.56179775,–,–,1,1.61,"R$ 1,61",1,1.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD - 01 - CARROSSEL ST - 24/05/2024,133,150,1.12781955,"R$ 1,51",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 10,07",0.66666667,–,–,,,"R$ 1,51",1,1.0,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,24/05/2024
AD 02 - IMAGEM STORIES,61,63,1.03278689,"R$ 0,61",Clique de 7 dias ou visualização de 1 dia,Conversas por mensagem iniciadas,,,"R$ 9,68",0.0,–,–,,,,0,,0.0,0.0,0.0,0.0,0.0,01/01/2024,30/10/2024,
