"Nome do anúncio",Alcance,Impressões,Frequência,"Valor usado (BRL)","Cliques (todos)","CPC (todos)","CTR (todos)","CPM (custo por 1.000 impressões)","Engajamento com a Página","Conversas por mensagem iniciadas","Reproduções de 25% do vídeo","Reproduções de 50% do vídeo","Reproduções de 75% do vídeo","Reproduções de 95% do vídeo","Reproduções de 100% do vídeo","Orçamento da campanha","Tipo de orçamento da campanha","Tipo de resultado",Resultados,"Custo por resultado","Classificação de qualidade","Contatos por mensagem","Novos contatos de mensagem","CTR único (todos)","Custo por clique único (todos)","CPC (custo por clique no link)","Início dos relatórios","Término dos relatórios"
"AD 01 - CARROSSEL",562,694,1.23487544,10.96,6,1.82666667,0.86455331,15.7925072,8,,,,,,,15,Diário,,,,–,,,1.06761566,1.82666667,3.65333333,2024-01-01,2024-11-03
"AD 02 - VIDEO - 16/09/2024",5014,5278,1.05265257,10.77,3,3.59,0.05683971,2.04054566,360,,544,130,60,50,45,10,Diário,Alcance,5014,2.14798564,"Na média",,,0.05983247,3.59,,2024-01-01,2024-11-03
"AD 03 - STORY - 15/10/2024",4526,4699,1.0382236,8.13,3,2.71,0.06384337,1.73015535,,,,,,,,10,Diário,Alcance,4526,1.79628811,"Acima da média",,,0.06628369,2.71,,2024-01-01,2024-11-03
"AD 01 - CARROSSEL ST - 24/05/2024",353,453,1.28328612,5.7,1,5.7,0.22075055,12.58278146,1,,,,,,,26,Diário,,,,–,,,0.28328612,5.7,5.7,2024-01-01,2024-11-03
"AD - 04 - CARROSSEL ST - 24/05/2024",409,557,1.36185819,5.48,7,0.78285714,1.2567325,9.83842011,3,,,,,,,26,Diário,,,,–,,,1.22249389,1.096,1.82666667,2024-01-01,2024-11-03
"AD 01 - CARROSSEL",213,236,1.10798122,2.52,5,0.504,2.11864407,10.6779661,3,,,,,,,15,Diário,,,,–,,,1.87793427,0.63,1.26,2024-01-01,2024-11-03
"AD 04 - CARROSSEL ST - 24/05/2024",190,214,1.12631579,2.45,1,2.45,0.46728972,11.44859813,1,,,,,,,26,Diário,,,,–,,,0.52631579,2.45,,2024-01-01,2024-11-03
"AD 03 - CARROSSEL ST - 24/05/2024",149,178,1.19463087,1.61,1,1.61,0.56179775,9.04494382,1,1,,,,,,26,Diário,"Conversas por mensagem iniciadas",1,1.61,–,,,0.67114094,1.61,1.61,2024-01-01,2024-11-03
"AD - 01 - CARROSSEL ST - 24/05/2024",133,150,1.12781955,1.51,1,1.51,0.66666667,10.06666667,1,,,,,,,26,Diário,,,,–,,,0.7518797,1.51,1.51,2024-01-01,2024-11-03
"AD 02 - IMAGEM STORIES",61,63,1.03278689,0.61,0,,0,9.68253968,,,,,,,,15,Diário,,,,–,,,,,,2024-01-01,2024-11-03
